Song,Mood_of_Song,Rating,Number_of_Streams,Album
Jigsaw Falling into Place,4,10,118282832,1
No Surprises,2,9,505652748,2
How Do You?,4,7,9910349,3
Palo Alto,3,9,1930826,10
Killer Cars,3,8,1685697,10
Planet Telex,2,2,33624851,5
Ful Stop,2,7,24571623,7
How Can You Be Sure?,5,5,2176680,10
Blow Out,4,5,14237010,3
Weird Fishes/Arpeggi ,5,7,156185442,1
Just,4,8,124324979,5
Black Star,2,8,46400572,5
Paranoid Android,3,9,190159984,2
Give Up The Ghost,5,4,13851548,4
Optimistic,1,6,29380464,6
You and Whose Army?,1,4,39713829,8
Pyramid Song,2,7,66708074,8
Burn the Witch,3,5,78763649,7
Feral,3,1,8892909,4
Everything In Its Right Place,1,7,119280233,6
The Bends,4,7,39042570,5
Bodysnatchers,4,8,53785213,1
You,4,9,30240566,3
Electioneering,3,5,33144102,2
All I Need,1,7,98862182,1
The National Anthem ,1,4,43715481,6
Creep ,2,9,1411781185,3
High and Dry,5,7,362685151,5
My Iron Lung,1,4,54173326,5
Airbag,2,4,61923835,2